Parcela;Placa;Especie;Familia;DAP_cm
P9;72;Quercus humboldtii;Fagaceae;26,33
P9;73;Croton smithianus;Euphorbiaceae;21,19
P9;74;Guatteria lehmannii;Annonaceae;11,83
P9;75;Stylogyne sp1;Primulaceae;14,31
P9;76;Sapium cuatrecasii;Euphorbiaceae;14,09
P9;77;Panopsis sp;Proteaceae;11,44
P9;78;Quercus humboldtii;Fagaceae;38,8
P9;79;Vismia baccifera;Hypericaceae;12,93
P9;80;Billia rosea;Sapindaceae;10,66
P9;81;Vochysia megalantha;Vochysiaceae;41,29
P9;82;Croton smithianus;Euphorbiaceae;13,01
P9;83;Quercus humboldtii;Fagaceae;70,54
P9;84;Croton smithianus;Euphorbiaceae;13,89
P9;85;Matudaea colombiana;Hamamelidaceae;16,84
P9;86;Matudaea colombiana;Hamamelidaceae;17,41
P9;87;Posoqueria coriacea;Rubiaceae;10,45
P9;88;Rudgea sclerocalyx;Rubiaceae;14,46
P9;89;Sloanea sp5;Elaeocarpaceae;10,98
P9;90;Cordia bogotensis;Boraginaceae;11,94
P9;91;Prunus subcorymbosa;Rosaceae;12,79
P9;92;Palicourea demissa;Rubiaceae;10,86
P9;93;Billia rosea;Sapindaceae;12,08
P9;94;Billia rosea;Sapindaceae;13,92
P9;95;Quercus humboldtii;Fagaceae;39,53
P9;96;Sapium cuatrecasii;Euphorbiaceae;15,79
P9;97;Sapium cuatrecasii;Euphorbiaceae;14,87
P9;98;Quercus humboldtii;Fagaceae;43,29
P9;99;Symplocos quindiuensis;Symplocaceae;20,87
P9;100;Croton smithianus;Euphorbiaceae;11,24
P9;101;Croton smithianus;Euphorbiaceae;13,37
P9;102;Miconia theaezans;Melastomataceae;13,64
P9;103;Croton smithianus;Euphorbiaceae;11,65
P9;104;Croton smithianus;Euphorbiaceae;13,16
P9;105;Brunellia sibundoya;Brunelliaceae;17,32
P9;106;Brunellia sibundoya;Brunelliaceae;9,82
P9;107;Croton smithianus;Euphorbiaceae;15,19
P9;108;Croton smithianus;Euphorbiaceae;17,16
P9;109;Croton smithianus;Euphorbiaceae;12,2
P9;110;Vismia baccifera;Hypericaceae;11,39
P9;111;Croton smithianus;Euphorbiaceae;13,48
P9;112;Turpinia occidentalis;Staphyleaceae;10,56
P9;113;Inga multijuga;Fabaceae;10,44
P9;114;Croton smithianus;Euphorbiaceae;10,67
P9;115;Croton smithianus;Euphorbiaceae;12,69
P9;116;Brunellia sibundoya;Brunelliaceae;11,84
P9;117;Brunellia sibundoya;Brunelliaceae;15,85
P9;118;Croton smithianus;Euphorbiaceae;24,89
P9;119;Guettarda crispiflora;Rubiaceae;11,01
P9;120;Guettarda crispiflora;Rubiaceae;10,65
P9;121;Cecropia reticulata;Urticaceae;10,58
P9;122;Trema micrantha;Cannabaceae;11,11
P9;123;Vismia baccifera;Hypericaceae;12,57
P9;124;Matudaea colombiana;Hamamelidaceae;10,79
P9;125;Matudaea colombiana;Hamamelidaceae;10,44
P9;126;Miconia theaezans;Melastomataceae;9,53
P9;127;Vismia baccifera;Hypericaceae;18,18
P9;128;Vismia baccifera;Hypericaceae;19,42
P9;129;Guettarda crispiflora;Rubiaceae;10,86
P9;130;Weinmannia pubescens;Cunoniaceae;13,21
P9;131;Ladenbergia macrocarpa;Rubiaceae;11,84
P9;132;Vismia baccifera;Hypericaceae;13,16
P9;133;Vismia baccifera;Hypericaceae;10,69
P9;134;Croton smithianus;Euphorbiaceae;14,14
P9;135;Croton smithianus;Euphorbiaceae;12,32
P9;136;Croton smithianus;Euphorbiaceae;10,95
P9;137;Inga edulis;Fabaceae;11,11
P9;138;Croton smithianus;Euphorbiaceae;11,67
P9;139;Ilex sp3;Aquifoliaceae;10,08
P9;140;Weinmannia pubescens;Cunoniaceae;10,23
P9;141;Cavendishia pubescens;Ericaceae;12,28
P9;142;Roupala sp1;Proteaceae;12,85
P9;143;Weinmannia pubescens;Cunoniaceae;12,54
P9;144;Ilex sp3;Aquifoliaceae;12,42
P9;145;Ilex sp1;Aquifoliaceae;10,31
P9;146;Cavendishia pubescens;Ericaceae;11,21
P9;147;Cavendishia pubescens;Ericaceae;11,52
P9;148;Guettarda crispiflora;Rubiaceae;11,52
P9;149;Cecropia reticulata;Urticaceae;12,28
P9;150;Cordia sp4;Boraginaceae;18,56
P9;151;Tibouchina lepidota;Melastomataceae;12,19
P9;152;Guettarda crispiflora;Rubiaceae;13,08
P9;153;Matudaea colombiana;Hamamelidaceae;18,08
P9;154;Matudaea colombiana;Hamamelidaceae;21,33
P10;1;Maquira guianensis;Moraceae;10,92
P10;2;Guarea macrophylla;Meliaceae;17,45
P10;3;Calophyllum brasiliense;Calophyllaceae;22,42
P10;4;Miconia elata;Melastomataceae;19,08
P10;5;Coussarea grandifolia;Rubiaceae;12,11
P10;6;Otoba novogranatensis;Myristicaceae;25,37
P10;7;Pseudoxandra sclerocarpa;Annonaceae;23,09
P10;8;Coussarea grandifolia;Rubiaceae;17,09
P10;9;Coussarea grandifolia;Rubiaceae;14,19
P10;10;Mayna grandifolia;Achariaceae;17,43
P10;11;Coussapoa sp;Urticaceae;12,64
P10;12;Picrolemma huberi;Simaroubaceae;29,64
P10;13;Coussarea grandifolia;Rubiaceae;10,5
P10;14;Maquira guianensis;Moraceae;10,31
P10;15;Calophyllum brasiliense;Calophyllaceae;18,53
P10;16;Schizocalyx bracteosa;Rubiaceae;13,08
P10;17;Schizocalyx bracteosa;Rubiaceae;14,57
P10;18;;;15,15
P10;19;Jacaranda copaia;Bignoniaceae;12,64
P10;20;Guatteria aberrans;Annonaceae;39,95
P10;21;Tetragastris panamensis;Burseraceae;31,57
P10;22;Rhodostemonodaphne grandis;Lauraceae;10,78
P10;23;Jacaranda copaia;Bignoniaceae;17,25
