Placa;DAP (cm);Altura (m);Habito;Codigos observaciones
324;14,16;12,4;Arbol;
325;17,22;7;Palma;
326;43,93;19,2;Arbol;
327;16,46;11,2;Arbol;
328;28,93;22;Arbol;
329;15,6;11,6;Palma;
330;17,57;14,7;Arbol;
331;13,59;6,3;Arbol;
332;13,43;11,6;Arbol;
333;16,01;11,4;Palma;
334;29,25;25;Arbol;
335;11,62;7,6;Arbol;
336;10,25;9;Arbol;
337;28,39;18,4;Arbol;
338;24,51;14,8;Arbol;
339;17,92;9;Palma;
340;19,35;18;Palma;
341;14,55;10,4;Arbol;
342;83,6;32,6;Arbol;
343;12,48;8,5;Arbol;
344;18,46;16;Arbol;
345;33,58;26,2;Arbol;
346;12,73;16,2;Arbol;
347;14,96;10;Arbol;
348;40,97;24,2;Arbol;
349;32,31;24,2;Arbol;
350;11,46;7;Arbol;
351;16,9;10;Arbol;
352;11,84;7;Arbol;
353;19,03;11;Palma;
354;16,68;15,4;Arbol;
355;19,96;12;Palma;
356;126,8;33,7;Arbol;L
357;16,87;9,6;Arbol;
358;16,93;22;Arbol;
359;11,4;8,6;Arbol;
360;29,51;18,3;Arbol;
361;107,11;32;Arbol;
362;15,72;14,3;Arbol;
363;11,87;7,5;Arbol;
364;22,63;6,5;Arbol;
365;14,9;13,1;Arbol;
366;60,54;33;Arbol;
367;59,36;34,5;Arbol;
368;10,92;6;Arbol;
369;28,58;22;Arbol;
370;18,75;9;Palma;
371;11,33;8;Arbol;
372;14,04;11;Arbol;
373;27,15;11;Arbol;
374;27,88;12,5;Arbol;L,Q
375;10,09;11,65;Arbol;
376;10,57;15;Arbol;
377;12,38;15,2;Arbol;
378;12,25;13,1;Arbol;
379;10,19;13,5;Arbol;
380;10,09;15,2;Arbol;
381;11,9;13;Arbol;
382;14,32;16,6;Arbol;
383;11,75;17;Arbol;
384;10,98;12;Arbol;
385;11,14;12;Arbol;
386;10,35;15;Arbol;
387;11,3;13;Palma;
388;10,19;10,6;Arbol;
389;10,66;12;Arbol;
390;10,25;10,3;Arbol;
391;14,32;12;Arbol;
392;12,1;5;Arbol;
393;80,54;27,4;Arbol;
394;133,09;38,1;Arbol;
395;10,19;13;Arbol;
396;10,82;10,2;Arbol;
397;13,97;12,8;Arbol;
398;10,19;10,6;Arbol;
399;10,06;7;Arbol;
400;10,95;7,2;Arbol;
401;12,13;13;Arbol;
402;10,66;12,8;Arbol;
403;11,55;14;Arbol;
404;10,54;15;Arbol;
